target	seed	rval	voxel
R.Nac	9/46d	0.506182 	 24,82,55
R.Nac	44v	0.563993 	 20,74,39
R.Nac	SMA	0.517577 	 44,60,65
R.Nac	8m 	0.554001 	 46,80,64
R.Nac	M1	0.370167 	 65,55,59
R.Nac	S1	0.467999 	 67,49,66
R.Nac	ParOp	0.409697 	 72,49,46
R.Nac	aIPS	0.348383 	 72,50,58
R.Nac	pIPL	0.267731 	 63,39,57
R.Nac	pIPL	0.391729 	 54,24,58
R.Nac	23ab	0.253972 	 46,53,55
R.Nac	rsplC	0.262849 	 48,39,42
R.Nac	latocc	0.299873 	 74,32,31
R.Nac	perirhinal	0.347516 	 67,62,18
R.Nac	temPol	0.494606 	 67,69,21
R.Nac	ventrStr	0.494351 	 53,67,30
R.Nac	Caud	0.308125 	 52,68,45
R.Nac	put	0.584116 	 32,65,33
R.Nac	hippoc	0.217401 	 59,54,29
R.Nac	amygd	0.431915 	 57,60,28
R.Nac	hypoth	0.540077 	 47,63,29
R.Nac	VTA	0.414284 	 45,53,29
L.Nac	9/46d	0.342497 	 23,80,55
L.Nac	44v	0.498346 	 18,73,40
L.Nac	SMA	0.421463 	 44,61,65
L.Nac	8m 	0.482729 	 46,81,64
L.Nac	M1	0.464146 	 67,53,59
L.Nac	S1	0.271771 	 67,48,64
L.Nac	ParOp	0.330478 	 72,49,46
L.Nac	aIPS	0.359211 	 72,52,57
L.Nac	pIPL	0.349192 	 61,38,57
L.Nac	pIPL	0.351115 	 55,25,59
L.Nac	23ab	0.256333 	 45,53,55
L.Nac	rsplC	0.216154 	 49,40,40
L.Nac	latocc	0.365212 	 74,33,32
L.Nac	perirhinal	0.335767 	 69,64,16
L.Nac	temPol	0.358958 	 67,68,19
L.Nac	ventrStr	0.305540 	 53,69,32
L.Nac	Caud	0.419840 	 51,68,44
L.Nac	put	0.547027 	 31,67,33
L.Nac	hippoc	0.262450 	 58,52,29
L.Nac	amygd	0.407321 	 57,62,26
L.Nac	hypoth	0.379076 	 45,61,30
L.Nac	VTA	0.388573 	 45,52,29
R.Dca	9/46d	0.324817 	 23,80,54
R.Dca	44v	0.397456 	 19,72,40
R.Dca	SMA	0.242208 	 44,61,65
R.Dca	8m 	0.499605 	 46,80,63
R.Dca	M1	0.245062 	 66,55,60
R.Dca	S1	0.280244 	 67,49,64
R.Dca	ParOp	0.442144 	 70,47,47
R.Dca	aIPS	0.392679 	 73,52,57
R.Dca	pIPL	0.385223 	 62,38,56
R.Dca	pIPL	0.395555 	 55,25,59
R.Dca	23ab	0.273286 	 45,53,55
R.Dca	rsplC	0.540184 	 48,39,41
R.Dca	latocc	0.472219 	 73,32,30
R.Dca	perirhinal	0.189280 	 67,62,17
R.Dca	temPol	0.379327 	 68,68,19
R.Dca	ventrStr	0.474083 	 53,69,32
R.Dca	Caud	0.502616 	 52,69,43
R.Dca	put	0.511451 	 32,65,32
R.Dca	hippoc	0.407724 	 59,52,29
R.Dca	amygd	0.445018 	 58,61,27
R.Dca	hypoth	0.471114 	 45,62,30
R.Dca	VTA	0.266321 	 45,52,29
L.Dca	9/46d	0.218932 	 25,80,56
L.Dca	44v	0.365831 	 20,73,40
L.Dca	SMA	0.409615 	 42,60,65
L.Dca	8m 	0.422637 	 46,81,64
L.Dca	M1	0.350696 	 67,53,59
L.Dca	S1	0.311257 	 67,49,64
L.Dca	ParOp	0.358248 	 70,47,47
L.Dca	aIPS	0.411052 	 73,52,58
L.Dca	pIPL	0.471577 	 62,38,56
L.Dca	pIPL	0.363598 	 55,25,59
L.Dca	23ab	0.556259 	 45,53,55
L.Dca	rsplC	0.480687 	 48,39,42
L.Dca	latocc	0.435450 	 74,33,31
L.Dca	perirhinal	0.371008 	 69,64,18
L.Dca	temPol	0.237445 	 67,70,21
L.Dca	ventrStr	0.402771 	 52,69,32
L.Dca	Caud	0.399552 	 51,68,44
L.Dca	put	0.439729 	 31,65,32
L.Dca	hippoc	0.313931 	 59,52,29
L.Dca	amygd	0.288080 	 57,62,26
L.Dca	hypoth	0.390176 	 45,62,30
L.Dca	VTA	0.330544 	 46,52,27
R.Vca	9/46d	0.273769 	 24,80,54
R.Vca	44v	0.286215 	 19,72,40
R.Vca	SMA	0.256105 	 44,61,67
R.Vca	8m 	0.260841 	 46,81,64
R.Vca	M1	0.254344 	 67,53,59
R.Vca	S1	0.320883 	 68,48,66
R.Vca	ParOp	0.251845 	 72,49,46
R.Vca	aIPS	0.228538 	 74,52,58
R.Vca	pIPL	0.335397 	 61,38,57
R.Vca	pIPL	0.308385 	 55,24,59
R.Vca	23ab	0.167161 	 47,52,55
R.Vca	rsplC	0.414820 	 49,39,41
R.Vca	latocc	0.267516 	 74,33,32
R.Vca	perirhinal	0.217011 	 69,62,16
R.Vca	temPol	0.234836 	 66,70,19
R.Vca	ventrStr	0.285735 	 51,68,31
R.Vca	Caud	0.385454 	 51,67,45
R.Vca	put	0.370982 	 32,66,34
R.Vca	hippoc	0.258651 	 57,52,27
R.Vca	amygd	0.277751 	 58,61,26
R.Vca	hypoth	0.288581 	 47,63,30
R.Vca	VTA	0.364024 	 46,52,29
L.Vca	9/46d	0.297802 	 24,81,54
L.Vca	44v	0.315539 	 19,72,40
L.Vca	SMA	0.241807 	 42,60,67
L.Vca	8m 	0.266843 	 46,80,63
L.Vca	M1	0.351858 	 66,54,59
L.Vca	S1	0.277081 	 66,48,64
L.Vca	ParOp	0.479051 	 72,47,48
L.Vca	aIPS	0.365410 	 74,51,59
L.Vca	pIPL	0.333483 	 62,38,56
L.Vca	pIPL	0.364005 	 54,24,57
L.Vca	23ab	0.234911 	 46,53,54
L.Vca	rsplC	0.313566 	 48,38,41
L.Vca	latocc	0.348638 	 72,32,30
L.Vca	perirhinal	0.286389 	 69,62,16
L.Vca	temPol	0.224596 	 67,69,21
L.Vca	ventrStr	0.337219 	 51,69,31
L.Vca	Caud	0.398233 	 51,69,45
L.Vca	put	0.364593 	 30,65,34
L.Vca	hippoc	0.264991 	 59,52,29
L.Vca	amygd	0.296641 	 57,61,27
L.Vca	hypoth	0.352354 	 47,61,29
L.Vca	VTA	0.342662 	 44,52,29
R.Gp	9/46d	0.397585 	 25,81,55
R.Gp	44v	0.333966 	 18,72,39
R.Gp	SMA	0.295536 	 43,60,65
R.Gp	8m 	0.358978 	 47,80,63
R.Gp	M1	0.252512 	 65,53,59
R.Gp	S1	0.302139 	 67,47,66
R.Gp	ParOp	0.265813 	 70,49,47
R.Gp	aIPS	0.390298 	 72,51,58
R.Gp	pIPL	0.447940 	 63,38,58
R.Gp	pIPL	0.241441 	 55,25,59
R.Gp	23ab	0.469582 	 45,54,55
R.Gp	rsplC	0.237788 	 50,40,41
R.Gp	latocc	0.263351 	 72,32,30
R.Gp	perirhinal	0.300687 	 67,62,16
R.Gp	temPol	0.376197 	 67,69,21
R.Gp	ventrStr	0.447565 	 51,69,31
R.Gp	Caud	0.382473 	 51,68,44
R.Gp	put	0.376145 	 32,65,33
R.Gp	hippoc	0.322319 	 58,52,27
R.Gp	amygd	0.278664 	 57,62,28
R.Gp	hypoth	0.537558 	 47,62,29
R.Gp	VTA	0.468843 	 46,52,27
L.Gp	9/46d	0.334010 	 25,81,54
L.Gp	44v	0.535616 	 18,74,41
L.Gp	SMA	0.350940 	 43,60,67
L.Gp	8m 	0.456928 	 46,80,63
L.Gp	M1	0.467784 	 65,54,59
L.Gp	S1	0.238592 	 66,49,65
L.Gp	ParOp	0.364633 	 72,47,48
L.Gp	aIPS	0.241122 	 72,52,59
L.Gp	pIPL	0.317285 	 62,40,58
L.Gp	pIPL	0.509784 	 55,25,59
L.Gp	23ab	0.419119 	 45,53,54
