target	seed	rval	voxel
R.Nac	9/46d	0.468697 	 24,80,56
R.Nac	44v	0.430832 	 18,74,41
R.Nac	SMA	0.385627 	 44,60,67
R.Nac	8m 	0.627757 	 46,80,63
R.Nac	M1	0.351462 	 67,55,61
R.Nac	S1	0.387124 	 68,49,65
R.Nac	ParOp	0.367915 	 72,47,48
R.Nac	aIPS	0.625425 	 73,50,58
R.Nac	pIPL	0.446400 	 63,40,56
R.Nac	pIPL	0.505672 	 54,26,59
R.Nac	23ab	0.599642 	 47,53,55
R.Nac	rsplC	0.347265 	 49,40,41
R.Nac	latocc	0.400729 	 72,34,32
R.Nac	perirhinal	0.252583 	 67,63,18
R.Nac	temPol	0.505135 	 66,70,20
R.Nac	ventrStr	0.634662 	 51,68,30
R.Nac	Caud	0.391678 	 51,67,43
R.Nac	put	0.306829 	 31,67,33
R.Nac	hippoc	0.500565 	 59,52,29
R.Nac	amygd	0.380670 	 56,60,28
R.Nac	hypoth	0.451894 	 47,62,29
R.Nac	VTA	0.499090 	 45,53,27
L.Nac	9/46d	0.499867 	 23,80,54
L.Nac	44v	0.573812 	 19,74,40
L.Nac	SMA	0.395999 	 44,61,67
L.Nac	8m 	0.615983 	 48,82,65
L.Nac	M1	0.359742 	 67,55,60
L.Nac	S1	0.371099 	 68,48,65
L.Nac	ParOp	0.494073 	 72,48,46
L.Nac	aIPS	0.570932 	 74,51,59
L.Nac	pIPL	0.398259 	 62,39,58
L.Nac	pIPL	0.447157 	 55,25,58
L.Nac	23ab	0.443619 	 45,54,54
L.Nac	rsplC	0.595428 	 50,40,40
L.Nac	latocc	0.439978 	 73,34,32
L.Nac	perirhinal	0.269895 	 67,63,18
L.Nac	temPol	0.511829 	 66,70,20
L.Nac	ventrStr	0.589560 	 51,68,32
L.Nac	Caud	0.664225 	 51,69,45
L.Nac	put	0.352523 	 32,66,32
L.Nac	hippoc	0.695949 	 59,53,29
L.Nac	amygd	0.420454 	 58,62,26
L.Nac	hypoth	0.686328 	 47,63,30
L.Nac	VTA	0.547364 	 45,52,27
R.Dca	9/46d	0.234878 	 23,82,55
R.Dca	44v	0.417288 	 19,72,39
R.Dca	SMA	0.427491 	 42,60,65
R.Dca	8m 	0.544910 	 46,81,65
R.Dca	M1	0.392306 	 66,54,61
R.Dca	S1	0.384707 	 66,49,65
