target	seed	rval	voxel
R.Nac	9/46d	0.328710 	 23,82,55
R.Nac	44v	0.339950 	 20,72,40
R.Nac	SMA	0.308444 	 44,62,66
R.Nac	8m 	0.287408 	 46,81,63
R.Nac	M1	0.258086 	 65,55,61
R.Nac	S1	0.356211 	 68,48,65
R.Nac	ParOp	0.376052 	 70,47,48
R.Nac	aIPS	0.276694 	 74,50,57
R.Nac	pIPL	0.180048 	 63,39,58
R.Nac	pIPL	0.206639 	 56,24,57
R.Nac	23ab	0.442051 	 45,53,55
R.Nac	rsplC	0.380991 	 49,40,41
R.Nac	latocc	0.183802 	 72,32,32
R.Nac	perirhinal	0.404131 	 69,62,16
R.Nac	temPol	0.218794 	 67,69,21
R.Nac	ventrStr	0.505189 	 51,67,31
R.Nac	Caud	0.190966 	 52,68,43
R.Nac	put	0.456518 	 32,66,33
R.Nac	hippoc	0.467707 	 58,54,28
R.Nac	amygd	0.254550 	 56,62,26
R.Nac	hypoth	0.444619 	 47,63,30
R.Nac	VTA	0.360174 	 44,54,29
L.Nac	9/46d	0.290893 	 23,82,55
L.Nac	44v	0.392753 	 18,72,40
L.Nac	SMA	0.263242 	 42,60,65
L.Nac	8m 	0.401902 	 46,81,63
L.Nac	M1	0.270224 	 65,54,61
L.Nac	S1	0.150331 	 66,49,66
L.Nac	ParOp	0.448980 	 70,47,48
L.Nac	aIPS	0.178819 	 72,52,57
L.Nac	pIPL	0.278383 	 61,40,56
L.Nac	pIPL	0.291816 	 56,24,57
L.Nac	23ab	0.567592 	 47,53,55
L.Nac	rsplC	0.590978 	 48,39,40
L.Nac	latocc	0.340332 	 73,32,30
L.Nac	perirhinal	0.255056 	 67,64,18
L.Nac	temPol	0.305451 	 66,70,20
L.Nac	ventrStr	0.645194 	 51,67,30
L.Nac	Caud	0.329355 	 52,69,45
L.Nac	put	0.386559 	 32,67,33
L.Nac	hippoc	0.554484 	 58,54,28
L.Nac	amygd	0.387674 	 56,60,26
L.Nac	hypoth	0.615813 	 45,62,31
L.Nac	VTA	0.494734 	 45,54,29
R.Dca	9/46d	0.357646 	 25,81,55
R.Dca	44v	0.307538 	 20,73,40
R.Dca	SMA	0.369007 	 42,60,67
R.Dca	8m 	0.196726 	 47,82,65
R.Dca	M1	0.318972 	 65,55,61
R.Dca	S1	0.404045 	 68,49,64
R.Dca	ParOp	0.331209 	 72,49,46
R.Dca	aIPS	0.370484 	 74,52,57
R.Dca	pIPL	0.337860 	 63,39,57
R.Dca	pIPL	0.272159 	 56,26,57
R.Dca	23ab	0.382020 	 45,53,55
R.Dca	rsplC	0.351813 	 50,38,40
R.Dca	latocc	0.288125 	 72,33,30
R.Dca	perirhinal	0.314874 	 69,62,16
R.Dca	temPol	0.197539 	 68,70,20
R.Dca	ventrStr	0.287064 	 53,68,31
R.Dca	Caud	0.318238 	 52,67,45
R.Dca	put	0.406168 	 32,66,33
R.Dca	hippoc	0.270038 	 58,52,28
R.Dca	amygd	0.286804 	 57,60,28
R.Dca	hypoth	0.396317 	 47,62,30
R.Dca	VTA	0.407449 	 45,52,27
L.Dca	9/46d	0.327172 	 25,82,55
L.Dca	44v	0.205275 	 19,73,39
L.Dca	SMA	0.324423 	 44,61,65
L.Dca	8m 	0.385253 	 47,80,63
L.Dca	M1	0.278837 	 65,54,61
L.Dca	S1	0.175629 	 68,49,64
L.Dca	ParOp	0.448293 	 72,48,46
L.Dca	aIPS	0.272815 	 73,52,57
L.Dca	pIPL	0.329610 	 63,38,58
L.Dca	pIPL	0.237480 	 56,26,57
L.Dca	23ab	0.250553 	 47,52,55
L.Dca	rsplC	0.168389 	 50,38,40
L.Dca	latocc	0.483976 	 72,33,30
L.Dca	perirhinal	0.198641 	 69,63,17
L.Dca	temPol	0.300579 	 66,70,21
L.Dca	ventrStr	0.260690 	 53,68,31
L.Dca	Caud	0.555619 	 52,69,45
L.Dca	put	0.396668 	 32,65,33
